;Von;Bis;Amp
0;0.0;0.08333333333333333;64.428875
1;0.08333333333333333;0.16666666666666666;68.218
2;0.16666666666666666;0.25;63.847
3;0.25;0.3333333333333333;64.216625
4;0.3333333333333333;0.4166666666666667;72.271625
5;0.4166666666666667;0.5;71.58325
6;0.5;0.5833333333333334;69.69875
7;0.5833333333333334;0.6666666666666666;69.862125
8;0.6666666666666666;0.75;68.503875
9;0.75;0.8333333333333334;72.751875
10;0.8333333333333334;0.9166666666666666;77.055625
11;0.9166666666666666;1.0;79.179875
12;1.0;1.0833333333333333;81.075875
13;1.0833333333333333;1.1666666666666667;83.621125
14;1.1666666666666667;1.25;81.626375
15;1.25;1.3333333333333333;88.636625
16;1.3333333333333333;1.4166666666666667;89.3965
17;1.4166666666666667;1.5;92.879125
18;1.5;1.5833333333333333;94.12275
19;1.5833333333333333;1.6666666666666667;103.883
20;1.6666666666666667;1.75;111.11625
21;1.75;1.8333333333333333;104.624
22;1.8333333333333333;1.9166666666666667;111.60225
23;1.9166666666666667;2.0;122.832
24;2.0;2.0833333333333335;131.7845
25;2.0833333333333335;2.1666666666666665;126.560125
26;2.1666666666666665;2.25;135.1075
27;2.25;2.3333333333333335;145.84225
28;2.3333333333333335;2.4166666666666665;151.36475
29;2.4166666666666665;2.5;159.037375
30;2.5;2.5833333333333335;163.21125
31;2.5833333333333335;2.6666666666666665;177.026
32;2.6666666666666665;2.75;188.518875
33;2.75;2.8333333333333335;187.775
34;2.8333333333333335;2.9166666666666665;222.0755
35;2.9166666666666665;3.0;215.388
36;3.0;3.0833333333333335;230.095625
37;3.0833333333333335;3.1666666666666665;228.1845
38;3.1666666666666665;3.25;274.923
39;3.25;3.3333333333333335;261.180625
40;3.3333333333333335;3.4166666666666665;331.3935
41;3.4166666666666665;3.5;388.40775
42;3.5;3.5833333333333335;360.17875
43;3.5833333333333335;3.6666666666666665;340.929375
44;3.6666666666666665;3.75;323.800875
45;3.75;3.8333333333333335;321.9615
46;3.8333333333333335;3.9166666666666665;361.293125
47;3.9166666666666665;4.0;367.09675
48;4.0;4.083333333333333;310.801875
49;4.083333333333333;4.166666666666667;299.1275
50;4.166666666666667;4.25;288.111875
51;4.25;4.333333333333333;304.824375
52;4.333333333333333;4.416666666666667;318.883625
53;4.416666666666667;4.5;320.133875
54;4.5;4.583333333333333;313.197875
55;4.583333333333333;4.666666666666667;295.445875
56;4.666666666666667;4.75;263.526625
57;4.75;4.833333333333333;255.923875
58;4.833333333333333;4.916666666666667;248.32825
59;4.916666666666667;5.0;216.965625
60;5.0;5.083333333333333;218.5885
61;5.083333333333333;5.166666666666667;204.9545
62;5.166666666666667;5.25;226.664375
63;5.25;5.333333333333333;195.7515
64;5.333333333333333;5.416666666666667;207.390125
65;5.416666666666667;5.5;189.953875
66;5.5;5.583333333333333;188.312625
67;5.583333333333333;5.666666666666667;180.773625
68;5.666666666666667;5.75;175.962875
69;5.75;5.833333333333333;181.491
70;5.833333333333333;5.916666666666667;184.235875
71;5.916666666666667;6.0;200.241
72;6.0;6.083333333333333;197.096625
73;6.083333333333333;6.166666666666667;199.46725
74;6.166666666666667;6.25;212.587
75;6.25;6.333333333333333;217.86525
76;6.333333333333333;6.416666666666667;240.07175
77;6.416666666666667;6.5;239.790625
78;6.5;6.583333333333333;235.473625
79;6.583333333333333;6.666666666666667;251.631
80;6.666666666666667;6.75;277.745
81;6.75;6.833333333333333;285.18125
82;6.833333333333333;6.916666666666667;296.3285
83;6.916666666666667;7.0;302.88125
84;7.0;7.083333333333333;286.880625
85;7.083333333333333;7.166666666666667;307.32675
86;7.166666666666667;7.25;273.869625
87;7.25;7.333333333333333;294.310125
88;7.333333333333333;7.416666666666667;252.511375
89;7.416666666666667;7.5;248.016125
90;7.5;7.583333333333333;246.039875
91;7.583333333333333;7.666666666666667;282.90875
92;7.666666666666667;7.75;264.767375
93;7.75;7.833333333333333;273.538125
94;7.833333333333333;7.916666666666667;230.545875
95;7.916666666666667;8.0;223.910125
96;8.0;8.083333333333334;235.264875
97;8.083333333333334;8.166666666666666;215.291
98;8.166666666666666;8.25;197.678625
99;8.25;8.333333333333334;189.991125
100;8.333333333333334;8.416666666666666;188.582375
101;8.416666666666666;8.5;196.091
102;8.5;8.583333333333334;179.590875
103;8.583333333333334;8.666666666666666;168.332375
104;8.666666666666666;8.75;170.650125
105;8.75;8.833333333333334;145.08225
106;8.833333333333334;8.916666666666666;154.980125
107;8.916666666666666;9.0;156.65650969529085
